Source_Port,Online_Purchase_Risk,Website_Visits,Risky_Website_Visits,Cloud_Service_Usage,Unencrypted_Traffic,Ad_Clicks,Insecure_Login_Attempts,Malware_Exposure_Risk,Hour,DayOfWeek,Month,Device_Type_Desktop,Device_Type_Laptop,Device_Type_Mobile,Insecurity_Level,Hours_Online,Cybersecurity_Behavior_Category
0.8786854751201365,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,False,False,True,0.0,0.2741508432335233,1
0.4488606417609673,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,False,False,True,0.0,2.986860461580426,2
0.47898000310029454,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,1.0,2,0,1,False,False,True,0.0,6.520125530623598,0
0.14727949155169742,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,False,False,False,0.0,4.630256207473207,0
0.4763757556967912,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,1.0,4,0,1,False,False,True,0.0,0.2849291278749866,0
0.6462563943574641,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1,False,False,False,0.0,3.4815859749190827,0
0.44789955045729346,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,6,0,1,False,True,False,0.0,0.2312166266924051,0
0.771570299178422,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,False,False,True,0.0,2.377451998874144,0
0.1978607967756937,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,False,False,True,0.0,3.0858416414697967,1
0.24545031778018914,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.0,9,0,1,False,False,True,0.0,0.2332766850070959,1
0.5336847000465045,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1,False,False,True,0.0,4.105133691561985,0
0.3244768252984034,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,11,0,1,False,False,True,0.0,2.2255480603975473,0
0.45648736629979847,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,False,False,True,0.0,0.8807030616675087,1
0.6194543481630755,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,False,False,True,0.0,5.045708510035646,1
